Food_Item,Calories,Protein_g,Carbs_g,Fat_g,Rasa,Virya,Vipaka,Vata_Recommendation,Pitta_Recommendation,Kapha_Recommendation,Regional_Cuisine,Health_Conditions
Spinach,279,8.47,5.33,11.57,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,South Indian,"['Hair_Growth', 'Digestion']"
Coconut,334,23.1,74.96,12.04,Amla (Sour),Ushna (Hot),Madhura (Sweet),Neutral,Avoid,Favor,South Indian,"['Hair_Growth', 'Stress', 'Weight_Gain']"
Passion Fruit,330,20.09,25.24,25.18,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Neutral,Avoid,South Indian,"['Hair_Growth', 'Skin_Health']"
Dal Tadka,175,34.67,41.93,19.56,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Neutral,Neutral,South Indian,"['General_Wellness', 'Digestion', 'Diabetes']"
Corn,104,33.9,60.89,2.53,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,South Indian,"['Weight_Gain', 'Immunity', 'General_Wellness']"
Green Gram,302,28.54,36.26,25.21,Madhura (Sweet),Ushna (Hot),Amla (Sour),Favor,Neutral,Neutral,North Indian,['Weight_Loss']
Cashew,165,31.19,34.19,28.27,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Neutral,Neutral,Favor,North Indian,['Weight_Gain']
Cucumber,195,25.66,13.39,11.31,Lavana (Salty),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,South Indian,"['Skin_Health', 'Diabetes']"
Cottage Cheese,487,26.32,5.06,34.31,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,['Diabetes']
Artichoke,596,14.98,28.2,25.57,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,East Indian,"['Acidity', 'Weight_Gain']"
Naan,244,14.0,63.49,23.64,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,West Indian,['Hair_Growth']
Black Salt,119,33.09,64.58,25.75,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,North Indian,"['Heart_Health', 'Acidity', 'Hair_Growth']"
Lamb,402,11.13,48.1,19.84,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Favor,Neutral,Favor,East Indian,"['Joint_Pain', 'Acidity', 'Immunity']"
Passion Fruit,99,27.39,64.97,8.35,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,South Indian,"['Joint_Pain', 'Hair_Growth', 'Weight_Gain']"
Cherry,214,10.53,64.68,34.43,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,North Indian,['Stress']
Olive Oil,228,14.72,9.84,7.44,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Favor,Avoid,South Indian,"['Digestion', 'Joint_Pain']"
Artichoke,209,27.02,43.57,3.59,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,West Indian,"['Stress', 'Joint_Pain', 'General_Wellness']"
Avocado,479,20.07,69.25,19.54,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,North Indian,['Immunity']
Flax Seeds,467,9.13,17.8,30.53,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,East Indian,"['Stress', 'Hair_Growth', 'Diabetes']"
Buckwheat,367,39.96,57.12,6.03,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,East Indian,"['Weight_Gain', 'Weight_Loss', 'Immunity']"
Black Salt,553,17.52,79.98,10.78,Amla (Sour),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,West Indian,['Joint_Pain']
Pongal,210,12.17,71.67,27.14,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Avoid,Neutral,North Indian,"['Acidity', 'Digestion']"
Cranberry,447,30.63,58.68,5.8,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Neutral,Favor,West Indian,"['Weight_Gain', 'Hair_Growth']"
Coriander,228,29.98,59.92,6.2,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Favor,Favor,South Indian,"['Acidity', 'Diabetes']"
Bay Leaf,220,15.14,51.35,17.39,Katu (Pungent),Ushna (Hot),Madhura (Sweet),Neutral,Avoid,Neutral,South Indian,['Stress']
Radish,400,36.56,37.57,3.76,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Neutral,Avoid,Favor,North Indian,['Skin_Health']
Sesame Seeds,225,29.27,15.74,11.85,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,East Indian,['General_Wellness']
Cardamom,581,32.62,51.28,5.17,Tikta (Bitter),Shita (Cold),Katu (Pungent),Neutral,Neutral,Favor,South Indian,['Skin_Health']
Mace,396,25.09,48.19,14.19,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,North Indian,"['General_Wellness', 'Hair_Growth']"
Peanut,291,17.17,54.97,33.88,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,West Indian,"['Weight_Gain', 'Stress']"
Black Tea,158,17.02,22.44,12.33,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,East Indian,"['Immunity', 'Weight_Loss', 'Joint_Pain']"
Halwa,422,29.08,43.34,6.03,Lavana (Salty),Shita (Cold),Amla (Sour),Favor,Neutral,Favor,East Indian,['Joint_Pain']
Green Tea,59,21.24,41.77,12.98,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Avoid,Neutral,North Indian,"['Weight_Gain', 'Acidity', 'Stress']"
Gulab Jamun,92,7.7,29.73,5.22,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,North Indian,"['Digestion', 'Stress', 'Weight_Gain']"
Black Salt,101,16.47,31.6,2.58,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,West Indian,"['General_Wellness', 'Immunity', 'Weight_Loss']"
Endive,415,26.42,29.39,22.33,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Avoid,Avoid,West Indian,"['Hair_Growth', 'General_Wellness']"
Pork,399,20.41,41.45,6.09,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Neutral,Avoid,Neutral,North Indian,"['Weight_Gain', 'General_Wellness']"
Curry,95,20.55,33.61,29.18,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,West Indian,"['General_Wellness', 'Acidity']"
Rasgulla,529,34.03,44.36,1.74,Madhura (Sweet),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Neutral,West Indian,"['Immunity', 'Weight_Loss']"
Dal Bati Churma,446,30.99,37.98,30.02,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Favor,North Indian,"['Hair_Growth', 'Acidity', 'Diabetes']"
Thepla,544,21.59,39.83,14.22,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,South Indian,"['Acidity', 'Stress']"
Rasam,231,33.75,11.87,2.44,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,North Indian,"['Joint_Pain', 'General_Wellness']"
Onion,183,3.16,12.06,8.05,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Neutral,Avoid,Favor,North Indian,"['Diabetes', 'Weight_Gain']"
Rogan Josh,453,30.27,28.2,19.88,Lavana (Salty),Shita (Cold),Madhura (Sweet),Avoid,Favor,Favor,East Indian,['Skin_Health']
Sambar,78,24.3,54.47,1.11,Tikta (Bitter),Ushna (Hot),Amla (Sour),Favor,Avoid,Avoid,North Indian,"['Diabetes', 'Acidity']"
Coconut,126,33.53,38.84,30.37,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,West Indian,"['Diabetes', 'Skin_Health', 'Immunity']"
Honey,453,38.78,13.62,20.54,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Favor,Favor,West Indian,"['Diabetes', 'Skin_Health']"
Curry,582,23.82,72.28,30.93,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Neutral,East Indian,['Diabetes']
Rogan Josh,194,21.73,28.47,24.92,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Neutral,Favor,South Indian,"['Joint_Pain', 'Diabetes', 'Weight_Gain']"
Dal Tadka,318,25.94,78.67,24.16,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,['Hair_Growth']
Raita,410,30.34,18.99,8.63,Lavana (Salty),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,South Indian,"['Skin_Health', 'General_Wellness', 'Weight_Gain']"
Tea,238,14.62,67.75,25.22,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,South Indian,"['Skin_Health', 'Weight_Loss', 'Acidity']"
Pumpkin,493,6.32,40.77,12.79,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,North Indian,"['Skin_Health', 'Weight_Gain', 'Digestion']"
Feta,214,22.64,47.44,4.15,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,South Indian,"['Stress', 'Hair_Growth']"
Pumpkin Seeds,233,21.75,34.68,10.73,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Neutral,Favor,South Indian,"['Acidity', 'Stress', 'Digestion']"
Turmeric,341,26.31,53.33,6.03,Amla (Sour),Shita (Cold),Amla (Sour),Favor,Avoid,Avoid,South Indian,"['Weight_Loss', 'Hair_Growth']"
Sapota,153,13.95,22.08,14.53,Kashaya (Astringent),Ushna (Hot),Madhura (Sweet),Favor,Neutral,Avoid,East Indian,"['General_Wellness', 'Skin_Health', 'Acidity']"
Coffee,451,12.68,44.22,12.58,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Avoid,Avoid,South Indian,"['Hair_Growth', 'Digestion', 'Heart_Health']"
Pomegranate,584,34.88,65.21,22.83,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['Weight_Loss', 'Acidity']"
Sambar,584,12.68,78.92,2.71,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,North Indian,['Hair_Growth']
Medu Vada,480,23.09,74.52,12.02,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Avoid,Neutral,Favor,South Indian,['Immunity']
Zucchini,383,38.17,5.57,26.07,Tikta (Bitter),Ushna (Hot),Amla (Sour),Neutral,Favor,Neutral,West Indian,['Weight_Gain']
Curry,53,26.93,43.66,9.91,Katu (Pungent),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,West Indian,['Diabetes']
Cranberry,511,33.5,74.29,22.42,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,West Indian,"['Weight_Loss', 'Weight_Gain', 'Digestion']"
Guava,125,37.11,17.08,21.1,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Neutral,Favor,South Indian,"['Heart_Health', 'General_Wellness', 'Weight_Gain']"
Upma,347,8.84,46.75,29.58,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,West Indian,['Weight_Loss']
Ashwagandha,534,37.78,43.76,18.53,Tikta (Bitter),Shita (Cold),Amla (Sour),Neutral,Avoid,Neutral,East Indian,"['Hair_Growth', 'Stress', 'Diabetes']"
Black Pepper,367,14.2,57.42,18.67,Lavana (Salty),Shita (Cold),Katu (Pungent),Favor,Favor,Favor,South Indian,"['Skin_Health', 'Acidity', 'Stress']"
Pumpkin Seeds,354,32.1,60.3,31.62,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,East Indian,['Digestion']
Chickpeas,151,19.12,44.31,19.88,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Avoid,Neutral,West Indian,"['General_Wellness', 'Hair_Growth', 'Diabetes']"
Okra,204,38.22,78.91,15.06,Lavana (Salty),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,West Indian,"['Weight_Loss', 'Joint_Pain', 'Digestion']"
Walnut,206,30.62,77.15,10.71,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Neutral,Avoid,East Indian,"['Digestion', 'Weight_Loss']"
Mutton Curry,129,37.29,56.26,1.11,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Neutral,Avoid,West Indian,['Digestion']
Sweet Potato,107,15.57,69.32,1.81,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Avoid,Avoid,East Indian,"['Skin_Health', 'Stress', 'Weight_Loss']"
White Chocolate,196,10.91,34.74,16.02,Tikta (Bitter),Ushna (Hot),Madhura (Sweet),Favor,Favor,Favor,East Indian,"['Acidity', 'Hair_Growth']"
Pani Puri,332,32.04,22.62,34.31,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Avoid,Neutral,Favor,West Indian,['Joint_Pain']
Soya Chunks,440,29.95,46.36,11.3,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,North Indian,"['General_Wellness', 'Weight_Gain', 'Digestion']"
Eggplant,299,34.31,47.47,4.94,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Neutral,Favor,West Indian,['Immunity']
Ashwagandha,409,7.08,37.39,21.22,Lavana (Salty),Ushna (Hot),Amla (Sour),Neutral,Favor,Favor,East Indian,"['Diabetes', 'Weight_Gain', 'Hair_Growth']"
Green Cardamom,512,30.01,72.27,11.64,Amla (Sour),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Favor,East Indian,"['Acidity', 'Heart_Health', 'Immunity']"
Tofu,57,22.32,63.3,20.55,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Favor,Neutral,East Indian,"['Immunity', 'Weight_Loss']"
Kofta,441,6.81,50.77,34.86,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,South Indian,"['Acidity', 'Weight_Loss', 'Hair_Growth']"
Bell Pepper,59,34.94,24.69,6.45,Kashaya (Astringent),Ushna (Hot),Amla (Sour),Favor,Avoid,Favor,West Indian,"['Weight_Loss', 'Stress']"
Turnip,102,31.36,69.18,27.57,Madhura (Sweet),Shita (Cold),Katu (Pungent),Favor,Avoid,Neutral,North Indian,['Hair_Growth']
Triphala,173,24.08,17.22,8.11,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Neutral,Avoid,Favor,West Indian,"['Heart_Health', 'Weight_Gain']"
Papad,102,34.91,9.48,25.54,Amla (Sour),Shita (Cold),Katu (Pungent),Avoid,Avoid,Avoid,North Indian,['Hair_Growth']
Gajar ka Halwa,405,18.94,45.79,28.13,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,West Indian,['Diabetes']
Turmeric,269,26.93,65.28,15.43,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,South Indian,"['General_Wellness', 'Skin_Health', 'Hair_Growth']"
Masoor Dal,114,19.95,31.51,25.01,Amla (Sour),Ushna (Hot),Amla (Sour),Avoid,Favor,Neutral,West Indian,"['Weight_Gain', 'Acidity']"
Gajar ka Halwa,404,2.97,21.48,24.38,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Avoid,Avoid,Avoid,West Indian,"['Weight_Loss', 'Heart_Health', 'Skin_Health']"
Blueberry,445,23.72,12.85,7.16,Amla (Sour),Ushna (Hot),Amla (Sour),Avoid,Favor,Avoid,South Indian,"['General_Wellness', 'Weight_Gain', 'Acidity']"
Aloe Vera Juice,160,17.04,51.19,31.23,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,West Indian,"['Weight_Gain', 'Digestion']"
Okra,581,9.34,47.18,3.07,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Favor,Avoid,North Indian,"['General_Wellness', 'Digestion', 'Acidity']"
Baingan Bharta,324,8.24,10.32,11.54,Tikta (Bitter),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,West Indian,"['Acidity', 'Joint_Pain', 'Hair_Growth']"
Turmeric,233,12.23,47.71,33.16,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Neutral,Favor,East Indian,['Acidity']
Lemon,182,27.62,56.47,23.01,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Neutral,Avoid,Favor,West Indian,['Digestion']
Eggs,296,16.13,47.95,31.56,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Favor,Favor,West Indian,"['Heart_Health', 'Skin_Health']"
Avial,206,2.13,33.55,21.24,Madhura (Sweet),Shita (Cold),Madhura (Sweet),Favor,Favor,Avoid,West Indian,"['Weight_Loss', 'Digestion']"
Medu Vada,423,13.82,21.68,4.53,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Avoid,Favor,Neutral,South Indian,"['Diabetes', 'Hair_Growth']"
Avial,330,37.93,33.02,34.41,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Favor,Avoid,South Indian,"['Digestion', 'Heart_Health']"
Pomegranate,589,6.61,39.97,0.62,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,South Indian,['Immunity']
Crab,252,4.02,62.58,23.47,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Favor,Favor,Avoid,East Indian,"['Joint_Pain', 'Acidity', 'Digestion']"
Asafoetida,209,22.02,67.97,4.6,Amla (Sour),Ushna (Hot),Amla (Sour),Avoid,Neutral,Avoid,East Indian,"['Digestion', 'Immunity', 'Weight_Loss']"
Eggs,326,18.19,30.63,23.81,Lavana (Salty),Shita (Cold),Amla (Sour),Favor,Favor,Favor,South Indian,['Joint_Pain']
Wheat,51,16.8,43.89,11.7,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Favor,West Indian,['Immunity']
Coconut Water,515,25.06,65.62,26.34,Lavana (Salty),Ushna (Hot),Katu (Pungent),Favor,Favor,Favor,North Indian,"['Hair_Growth', 'Heart_Health']"
Poha,278,20.68,19.7,34.85,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,West Indian,"['Weight_Gain', 'Digestion']"
Peanut Oil,87,27.55,24.59,11.71,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,West Indian,"['Joint_Pain', 'Weight_Gain', 'General_Wellness']"
Garlic,534,34.64,57.57,2.02,Amla (Sour),Ushna (Hot),Amla (Sour),Neutral,Favor,Avoid,South Indian,"['Skin_Health', 'Joint_Pain', 'Acidity']"
Carrot,233,24.34,13.82,21.21,Katu (Pungent),Ushna (Hot),Amla (Sour),Neutral,Avoid,Avoid,South Indian,['Heart_Health']
Arugula,115,29.01,41.42,33.27,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Avoid,Neutral,West Indian,"['Hair_Growth', 'Weight_Gain', 'Diabetes']"
Brazil Nut,63,6.39,60.85,9.83,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Avoid,Avoid,West Indian,"['General_Wellness', 'Hair_Growth']"
Star Anise,457,14.2,78.64,3.68,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,North Indian,"['Hair_Growth', 'Skin_Health', 'Diabetes']"
Star Anise,168,38.21,24.66,31.85,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,West Indian,"['Digestion', 'Diabetes']"
Raj Kachori,481,18.56,45.25,10.14,Katu (Pungent),Shita (Cold),Katu (Pungent),Avoid,Favor,Favor,West Indian,['Stress']
Radish,572,21.08,44.16,7.2,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Neutral,Avoid,Favor,East Indian,['Weight_Loss']
Cardamom,350,4.66,25.15,5.83,Madhura (Sweet),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,North Indian,"['Acidity', 'Digestion']"
Oats,454,2.24,16.88,34.26,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Favor,Avoid,Favor,North Indian,"['Acidity', 'Skin_Health', 'Stress']"
Avocado,443,27.14,34.41,2.91,Tikta (Bitter),Shita (Cold),Katu (Pungent),Avoid,Avoid,Neutral,South Indian,['Heart_Health']
Lobster,282,2.84,21.41,4.21,Kashaya (Astringent),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,South Indian,"['Diabetes', 'Weight_Gain']"
Lemon,210,34.27,27.55,9.49,Madhura (Sweet),Ushna (Hot),Katu (Pungent),Neutral,Favor,Avoid,South Indian,"['Stress', 'Acidity', 'Diabetes']"
Onion,451,14.08,13.69,33.27,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,South Indian,"['Weight_Gain', 'Heart_Health']"
Persimmon,74,28.47,43.04,8.82,Kashaya (Astringent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Favor,West Indian,"['Digestion', 'General_Wellness']"
Hazelnut,84,18.02,49.79,33.18,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,North Indian,"['Skin_Health', 'Hair_Growth']"
Avial,441,20.97,57.64,20.06,Tikta (Bitter),Shita (Cold),Katu (Pungent),Favor,Avoid,Neutral,South Indian,['Acidity']
Sapota,524,25.41,75.66,33.31,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Favor,North Indian,"['Acidity', 'Digestion']"
Cucumber,167,26.96,68.39,3.35,Amla (Sour),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,North Indian,"['General_Wellness', 'Stress', 'Diabetes']"
Yogurt,478,31.75,32.51,9.89,Amla (Sour),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,South Indian,"['Weight_Gain', 'Skin_Health', 'Hair_Growth']"
Sambar,438,36.66,77.92,17.65,Amla (Sour),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,North Indian,"['Joint_Pain', 'Diabetes', 'Weight_Loss']"
Masoor Dal,76,36.32,44.65,18.79,Katu (Pungent),Ushna (Hot),Katu (Pungent),Avoid,Favor,Avoid,West Indian,"['Heart_Health', 'General_Wellness', 'Hair_Growth']"
Pomegranate,241,8.92,48.7,21.72,Tikta (Bitter),Shita (Cold),Madhura (Sweet),Neutral,Favor,Avoid,East Indian,['Immunity']
Ginger,335,12.7,6.07,4.58,Kashaya (Astringent),Shita (Cold),Madhura (Sweet),Neutral,Favor,Favor,South Indian,"['Joint_Pain', 'General_Wellness']"
Jackfruit,441,36.86,27.86,8.14,Katu (Pungent),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,West Indian,['Joint_Pain']
Pongal,539,5.28,22.26,26.93,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,West Indian,['Weight_Gain']
Sambar,319,34.74,67.79,24.01,Lavana (Salty),Shita (Cold),Amla (Sour),Neutral,Favor,Favor,West Indian,"['Immunity', 'Acidity', 'Heart_Health']"
Green Gram,536,36.84,62.14,11.92,Katu (Pungent),Shita (Cold),Katu (Pungent),Favor,Favor,Avoid,West Indian,"['Diabetes', 'Stress', 'Digestion']"
Rajma Chawal,428,6.65,61.93,21.05,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Avoid,Avoid,Avoid,East Indian,"['Heart_Health', 'Stress', 'Immunity']"
Fish Curry,517,18.77,9.72,30.63,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Neutral,Avoid,South Indian,['Immunity']
Oregano,186,39.61,15.04,26.74,Kashaya (Astringent),Shita (Cold),Amla (Sour),Favor,Favor,Favor,West Indian,['Stress']
Wheatgrass Juice,211,38.02,31.99,3.95,Amla (Sour),Ushna (Hot),Katu (Pungent),Favor,Neutral,Avoid,North Indian,"['General_Wellness', 'Acidity', 'Heart_Health']"
Turnip,65,33.88,51.73,25.92,Amla (Sour),Shita (Cold),Madhura (Sweet),Neutral,Avoid,Favor,East Indian,['Weight_Gain']
Hyderabadi Biryani,124,7.19,32.15,16.51,Tikta (Bitter),Shita (Cold),Amla (Sour),Avoid,Avoid,Avoid,East Indian,"['Immunity', 'Weight_Loss', 'Diabetes']"
Halwa,505,34.12,50.69,21.53,Amla (Sour),Shita (Cold),Madhura (Sweet),Favor,Favor,Favor,East Indian,"['Immunity', 'Skin_Health']"
Farro,66,34.66,77.66,22.94,Lavana (Salty),Ushna (Hot),Madhura (Sweet),Avoid,Favor,Avoid,South Indian,"['Heart_Health', 'Joint_Pain']"
Agave Nectar,98,35.87,41.2,5.18,Madhura (Sweet),Shita (Cold),Amla (Sour),Neutral,Favor,Avoid,North Indian,"['Weight_Gain', 'Joint_Pain']"
Yogurt,81,16.5,22.51,3.97,Katu (Pungent),Shita (Cold),Amla (Sour),Avoid,Favor,Neutral,East Indian,"['Digestion', 'Acidity']"
Walnut,221,28.43,76.32,4.12,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,['General_Wellness']
Honey,365,28.31,78.13,21.61,Lavana (Salty),Shita (Cold),Katu (Pungent),Avoid,Avoid,Favor,West Indian,"['General_Wellness', 'Weight_Loss', 'Weight_Gain']"
Cabbage,303,8.79,12.96,13.85,Katu (Pungent),Shita (Cold),Amla (Sour),Avoid,Avoid,Favor,West Indian,"['Weight_Loss', 'Hair_Growth']"
Nectarine,569,27.99,35.44,23.33,Katu (Pungent),Shita (Cold),Amla (Sour),Favor,Avoid,Favor,East Indian,['Weight_Gain']
Lamb,302,15.75,28.57,25.07,Madhura (Sweet),Ushna (Hot),Amla (Sour),Avoid,Avoid,Avoid,North Indian,"['Heart_Health', 'General_Wellness']"
Pomegranate,524,15.12,33.09,30.18,Tikta (Bitter),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,North Indian,['Digestion']
Sambar,186,27.63,19.68,5.75,Tikta (Bitter),Ushna (Hot),Amla (Sour),Avoid,Avoid,Favor,South Indian,"['Weight_Loss', 'Heart_Health']"
Okra,592,19.93,42.39,31.0,Madhura (Sweet),Shita (Cold),Amla (Sour),Favor,Favor,Neutral,West Indian,"['Joint_Pain', 'Hair_Growth', 'Weight_Gain']"
Grape,237,38.91,31.34,30.44,Katu (Pungent),Ushna (Hot),Katu (Pungent),Favor,Avoid,Favor,East Indian,"['Heart_Health', 'Acidity']"
Cashew,211,29.37,65.83,5.28,Amla (Sour),Ushna (Hot),Madhura (Sweet),Favor,Avoid,Avoid,South Indian,"['Heart_Health', 'Joint_Pain']"
Guava,161,17.24,49.55,10.41,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Favor,East Indian,['Immunity']
Peach,213,14.01,67.27,19.32,Madhura (Sweet),Shita (Cold),Amla (Sour),Neutral,Avoid,Avoid,South Indian,['Skin_Health']
Dosa,111,7.15,37.66,33.83,Lavana (Salty),Shita (Cold),Madhura (Sweet),Favor,Avoid,Favor,West Indian,['Weight_Gain']
Fennel Seeds,245,13.1,52.31,0.66,Kashaya (Astringent),Shita (Cold),Amla (Sour),Avoid,Favor,Neutral,East Indian,"['Acidity', 'Digestion', 'Skin_Health']"
Aloe Vera Juice,355,10.1,70.06,21.16,Lavana (Salty),Ushna (Hot),Amla (Sour),Neutral,Favor,Favor,South Indian,['Immunity']
Pickle,485,12.6,27.11,30.37,Amla (Sour),Shita (Cold),Amla (Sour),Avoid,Favor,Favor,East Indian,"['Weight_Gain', 'Diabetes', 'Hair_Growth']"
Kidney Beans,121,22.05,5.64,4.71,Katu (Pungent),Ushna (Hot),Amla (Sour),Favor,Favor,Avoid,North Indian,['Heart_Health']
Sesame Oil,321,27.83,41.76,4.29,Kashaya (Astringent),Shita (Cold),Katu (Pungent),Avoid,Avoid,Avoid,West Indian,"['Digestion', 'Skin_Health', 'Weight_Loss']"
